Place,retweets,favourites,Subjectivity,Polarity,Month
Andaman & Nicobar Island,,,,,May
Arunanchal Pradesh,1.233226837,4.664536741,0.351268165,0.035576209,May
Assam,1.951807229,8.55873494,0.442516748,0.08124284,May
Bihar,3.313479624,23.31034483,0.370492395,0.102784343,May
Chandigarh,,,,,May
Chhatisgarh,1.896946565,4.389312977,0.327430058,0.058322052,May
Dadara & Nagar Havelli,,,,,May
Daman & Diu,,,,,May
Goa,3.02247191,0.330819033,0.10935016,0.10935016,May
Gujarat,2.894897959,8.883673469,0.351268616,0.106478802,May
Haryana,2.546236559,16.21451613,0.35489067,0.088433722,May
Himachal Pradesh,0.63237774,3.067453626,0.353470572,0.092639272,May
Jammu & Kashmir,1.776325903,9.395849347,0.356895218,0.080854327,May
Jharkhand,0.696666667,2.65,0.359896467,0.085837327,May
Karnataka,1.943198091,7.469451074,0.350150145,0.081128032,May
Kerala,2.56091954,16.57701149,0.362555026,0.088456046,May
Lakshadweep,,,,,May
Madhya Pradesh,2.376220053,5.251109139,0.331080568,0.073974607,May
Maharashtra,1.746699417,7.775253301,0.363897495,0.076200882,May
Manipur,3.661764706,30.07352941,0.289860737,0.140029391,May
Meghalaya,2.223548786,6.971181556,0.358791061,0.050687607,May
Mizoram,0,12,0.466666667,0.26875,May
Nagaland,1.188405797,9.710144928,0.35430058,0.111452726,May
NCT of Delhi,3.174442191,14.31237323,0.35078634,0.084331575,May
Puducherry,,,,,May
Punjab,1.980161646,8.293166789,0.338941532,0.08725025,May
Rajasthan,0.807228916,2.880522088,0.339481058,0.091408448,May
Sikkim,1.432432432,5.34029484,0.36317561,0.049078208,May
Tamil Nadu,1.195031056,5.323602484,0.349762664,0.084236908,May
Telangana,1.461483081,6.601511879,0.350687437,0.075821136,May
Tripura,1.054171181,3.737811484,0.384699307,0.0467299,May
Uttar Pradesh,2.146993318,9.564081798,0.348223279,0.073349292,May
Uttarakhand,5.161350844,22.05253283,0.348990342,0.105873614,May
West Bengal,1.211057304,4.546408394,0.342749993,0.080521019,May
Odisha,1.058776167,5.937198068,0.361486309,0.108128827,May
Andhra Pradesh,2.952763256,13.44865571,0.34831135,0.046261572,May
